timestamp,label,p,src_ip,dst_ip,protocol,ttl,total_len,t_delta
2025-12-03 04:45:53,NORMAL,0.398481,4.249.131.160,134.88.135.190,TCP,46,104,0.000000
2025-12-03 04:45:53,NORMAL,0.019460,134.88.135.190,4.249.131.160,TCP,128,0,0.000042
2025-12-03 04:45:53,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,525,0.010601
2025-12-03 04:45:53,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,99,0.000000
2025-12-03 04:45:53,NORMAL,0.000109,4.249.131.160,134.88.135.190,TCP,46,75,0.000000
2025-12-03 04:45:53,NORMAL,0.000000,140.82.112.4,134.88.135.190,TCP,52,1476,0.003019
2025-12-03 04:45:53,NORMAL,0.000003,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:53,NORMAL,0.000004,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:53,NORMAL,0.000011,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:53,NORMAL,0.000000,134.88.135.190,140.82.112.4,TCP,128,64,0.000395
2025-12-03 04:45:53,NORMAL,0.000004,140.82.112.4,134.88.135.190,TCP,52,1476,0.000039
2025-12-03 04:45:53,NORMAL,0.000001,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:53,NORMAL,0.000002,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:53,NORMAL,0.000001,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:53,NORMAL,0.000000,140.82.112.4,134.88.135.190,TCP,52,1476,0.000770
2025-12-03 04:45:53,NORMAL,0.000003,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,140.82.112.4,134.88.135.190,TCP,52,1476,0.017152
2025-12-03 04:45:54,NORMAL,0.000006,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000028,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000008,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000009,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000007,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000005,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000006,140.82.112.4,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,88,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,88,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,134.88.135.190,13.107.5.93,TCP,128,764,0.001678
2025-12-03 04:45:54,ATTACK DETECTED,0.984191,134.88.135.190,134.88.1.5,TCP,128,42,0.000453
2025-12-03 04:45:54,ATTACK DETECTED,0.984189,134.88.135.190,134.88.1.5,TCP,128,42,0.000027
2025-12-03 04:45:54,NORMAL,0.000000,134.88.135.190,134.88.1.5,TCP,128,72,0.000072
2025-12-03 04:45:54,NORMAL,0.000000,134.88.135.190,134.88.1.5,TCP,128,72,0.000086
2025-12-03 04:45:54,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,139,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,134.88.135.190,13.107.5.93,TCP,128,835,0.001328
2025-12-03 04:45:54,NORMAL,0.000000,134.88.135.190,140.82.112.22,TCP,128,557,0.000647
2025-12-03 04:45:54,ATTACK DETECTED,0.985860,134.88.135.190,18.161.21.21,TCP,128,41,0.000114
2025-12-03 04:45:54,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,1500,0.001282
